FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
.439,.479,.341,.488,.784,.524,.224,.288,95,91,95,92,101,93,86,75,-50.9,-55.6
.467,.515,.358,.522,.813,.553,.193,.309,101,98,100,99,105,98,74,81,-5.4,-9.5
.581,.630,.407,.626,.741,.649,.278,.218,126,120,114,118,96,115,107,57,80.9,79.2
.402,.469,.333,.484,.809,.502,.094,.495,87,90,93,92,105,89,36,129,-19.9,-29.4
.450,.463,.427,.526,.793,.548,.139,.359,98,88,119,100,103,97,53,93,-1.1,-7.5
.465,.483,.421,.528,.722,.545,.142,.299,101,92,118,100,93,96,54,78,-0.3,-5.4
.427,.422,.432,.524,.909,.553,.134,.451,93,81,121,99,118,98,52,117,-0.7,-2.1
.418,.439,.385,.493,.887,.561,.345,.392,91,84,108,93,115,99,133,102,-54.3,-6.1
.406,.424,.375,.476,.897,.552,.373,.373,88,81,105,90,116,98,143,97,-63.7,-17.1
.461,.500,.416,.557,.829,.595,.245,.461,100,95,116,105,107,105,94,120,9.4,11.0
.344,.458,.189,.384,.571,.397,.112,.424,75,88,53,73,74,70,43,110,-36.2,-44.1
.455,.494,.244,.474,.834,.585,.693,.157,99,94,68,90,108,104,266,41,-82.7,40.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.427,.571,.182,.461,.889,.484,.101,.371,93,109,51,87,115,86,39,97,-12.1,-15.0
.406,.545,.160,.435,.667,.441,.043,.362,88,104,45,82,86,78,17,94,-13.0,-17.4
.500,.667,.250,.550,1.000,.618,.300,.400,109,127,70,104,129,110,115,104,.8,2.4
.500,.500,,.500,,.500,.000,.000,109,95,,95,,89,,,-0.3,-0.8
.468,.541,.385,.558,.774,.584,.201,.471,102,103,108,106,100,103,77,123,29.8,21.7
.400,.556,.167,.433,1.000,.507,.267,.400,87,106,47,82,129,90,102,104,-2.9,-1.9
.629,.629,,.629,.529,.626,.268,.000,137,120,,119,68,111,103,,77.6,53.1
.379,.515,.242,.439,.691,.515,.636,.500,82,98,68,83,89,91,245,130,-11.8,-8.4
.310,.375,.231,.362,.600,.436,.690,.448,67,72,64,68,78,77,265,117,-9.7,-9.7
.432,.647,.250,.500,.773,.578,.595,.540,94,124,70,95,100,102,229,141,-2.1,1.3
.416,.402,.425,.543,.852,.563,.111,.601,90,77,119,103,110,100,43,156,7.0,-0.9
.427,.481,.293,.469,.832,.535,.365,.288,93,92,82,89,108,95,140,75,-31.0,-17.9
.352,.451,.302,.452,.793,.470,.095,.664,77,86,84,86,103,83,37,173,-46.5,-59.8
.533,.564,.207,.542,.737,.590,.443,.085,116,108,58,103,95,105,170,22,9.2,21.1
.412,.468,.333,.481,.734,.525,.323,.412,90,89,93,91,95,93,124,107,-27.8,-26.4
.580,.581,.000,.579,.606,.589,.218,.003,126,111,,110,78,104,84,1,30.6,16.1
.560,.560,,.560,.614,.573,.222,.000,122,107,,106,79,101,85,,16.2,4.4
.689,.705,.000,.689,.556,.684,.200,.022,150,135,,130,72,121,77,6,14.4,11.7
.778,.778,,.778,.462,.717,.722,.000,169,148,,147,60,127,278,,9.0,7.2
.404,.597,.306,.505,.870,.531,.126,.661,88,114,85,96,113,94,48,172,-8.6,-13.1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.000,.000,.000,.000,1.000,.127,.286,.571,,,,,129,22,110,149,-7.4,-6.9
.667,.750,.000,.667,,.667,.000,.111,145,143,,126,,118,,29,2.5,1.8
.393,.412,.375,.489,1.000,.499,.036,.514,85,79,105,93,129,88,14,134,-11.1,-18.6
.294,.167,.438,.397,,.397,.000,.471,64,32,122,75,,70,,123,-9.0,-11.4
.424,.500,.357,.519,1.000,.531,.047,.528,92,95,100,98,129,94,18,138,-2.1,-7.2
.545,.584,.205,.556,.769,.604,.405,.101,119,111,57,105,100,107,156,26,20.8,35.6
.618,.658,.359,.642,.759,.662,.234,.134,134,126,100,121,98,117,90,35,108.4,103.3
.406,.682,.351,.553,.900,.568,.075,.835,88,130,98,105,116,101,29,217,6.3,.8
.390,.625,.353,.542,.857,.564,.119,.864,85,119,99,103,111,100,46,225,1.6,-0.1
.419,.714,.350,.561,1.000,.571,.041,.811,91,136,98,106,129,101,16,211,4.7,.9
.454,.533,.368,.542,.836,.574,.190,.476,99,102,103,103,108,102,73,124,23.0,16.8
.442,.509,.371,.532,.884,.581,.264,.488,96,97,104,101,114,103,101,127,2.2,12.1
.462,.547,.366,.548,.785,.569,.146,.469,100,104,102,104,102,101,56,122,20.8,4.7
.562,.634,.143,.573,.524,.577,.438,.146,122,121,40,108,68,102,168,38,4.2,1.4
.401,.571,.346,.532,.909,.548,.077,.753,87,109,97,101,118,97,30,196,.8,-4.8
.286,.364,.000,.286,.600,.340,.357,.214,62,69,,54,78,60,137,56,-6.8,-7.3
.426,.486,.316,.481,.545,.493,.204,.352,93,93,88,91,71,87,78,92,-5.1,-8.5
.584,.642,.401,.632,.800,.659,.248,.243,127,123,112,120,104,117,95,63,125.1,127.1
