FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
.328,.419,.242,.391,.571,.403,.109,.516,71,80,68,74,74,71,42,134,-17.7,-21.8
.453,.499,.359,.512,.792,.554,.275,.331,98,95,100,97,102,98,105,86,-36.7,-26.5
.615,.640,.000,.615,.673,.651,.705,.038,134,122,,116,87,115,271,10,13.5,17.6
.580,.583,.286,.581,.621,.602,.461,.011,126,111,80,110,80,107,177,3,67.7,58.2
.399,.448,.332,.469,.826,.502,.172,.422,87,86,93,89,107,89,66,110,-63.9,-72.1
.500,.630,.231,.537,.842,.610,.475,.325,109,120,64,102,109,108,183,85,.7,4.4
.375,.415,.347,.476,.836,.518,.223,.579,82,79,97,90,108,92,86,151,-72.3,-69.8
.341,.357,.296,.379,.509,.399,.251,.256,74,68,83,72,66,71,97,67,-63.2,-77.7
.447,.473,.367,.492,.721,.509,.125,.245,97,90,102,93,93,90,48,64,-50.7,-80.9
.318,.545,.091,.341,1.000,.371,.091,.500,69,104,25,64,129,66,35,130,-8.3,-8.8
.273,.375,.000,.273,.500,.314,.364,.273,59,72,,52,65,56,140,71,-5.6,-6.4
.445,.531,.402,.579,1.000,.598,.084,.665,97,101,112,109,129,106,32,173,38.0,26.7
.430,.454,.391,.503,.793,.551,.312,.373,94,87,109,95,103,98,120,97,-15.0,-8.9
.667,1.000,.000,.667,1.000,.727,.333,.333,145,191,,126,129,129,128,87,.8,1.1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.430,.528,.264,.479,.552,.491,.204,.373,93,101,74,91,71,87,78,97,-14.2,-22.8
.596,.622,.000,.596,.529,.597,.362,.043,129,119,,113,69,106,139,11,6.3,3.5
.500,.500,,.500,.500,.512,.500,.000,109,95,,95,65,91,192,,-0.2,-0.5
.605,.634,.000,.605,.533,.605,.349,.046,131,121,,114,69,107,134,12,6.5,4.0
.450,.479,.403,.527,.811,.567,.255,.383,98,92,113,100,105,100,98,100,-3.7,6.8
.436,.457,.367,.480,.873,.557,.403,.239,95,87,103,91,113,99,155,62,-48.2,-9.2
.448,.473,.379,.498,.868,.578,.444,.269,97,90,106,94,112,102,171,70,-19.7,10.5
.412,.430,.333,.442,.887,.512,.321,.182,90,82,93,84,115,91,123,47,-28.5,-19.7
.378,.473,.329,.486,.805,.513,.148,.658,82,90,92,92,104,91,57,171,-49.8,-65.2
.566,.633,.333,.603,.763,.631,.268,.225,123,121,93,114,99,112,103,59,63.4,63.2
.408,.405,.413,.500,.816,.531,.178,.444,89,77,115,95,106,94,69,116,-24.6,-30.9
.294,.000,.357,.441,.500,.453,.235,.824,64,,100,83,65,80,90,214,-3.0,-4.2
.348,.400,.308,.435,1.000,.485,.174,.565,76,76,86,82,129,86,67,147,-4.3,-4.0
.487,.510,.475,.643,.750,.650,.080,.660,106,97,133,122,97,115,31,172,34.4,26.6
.512,.518,.391,.520,.615,.540,.286,.041,111,99,109,98,80,96,110,11,-9.4,-30.8
.545,.571,.500,.636,.500,.627,.364,.364,119,109,140,120,65,111,140,95,2.4,1.6
.423,.518,.357,.528,.610,.539,.155,.593,92,99,100,100,79,95,59,154,-0.3,-14.7
.357,.432,.338,.492,.724,.513,.159,.797,78,83,94,93,94,91,61,207,-13.5,-20.0
.367,.464,.337,.496,.684,.514,.162,.761,80,89,94,94,89,91,62,198,-7.7,-12.6
.176,.500,.133,.235,.500,.252,.118,.882,38,95,37,44,65,45,45,230,-10.0,-11.2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.396,.286,.415,.573,.875,.602,.167,.854,86,55,116,108,113,107,64,222,4.2,3.8
.460,.525,.348,.524,.600,.529,.079,.365,100,100,97,99,78,94,31,95,-0.6,-4.6
.508,.586,.412,.600,.796,.642,.363,.445,110,112,115,113,103,114,140,116,88.1,111.2
.444,.485,.418,.571,.822,.587,.102,.608,97,93,117,108,106,104,39,158,37.6,20.6
.481,.604,.358,.571,.791,.620,.406,.500,105,115,100,108,102,110,156,130,8.9,13.9
.415,.551,.358,.541,.812,.559,.113,.702,90,105,100,102,105,99,43,183,10.4,-5.0
.465,.654,.176,.500,.826,.584,.535,.395,101,125,49,95,107,103,206,103,-2.5,2.0
.373,.403,.000,.373,.857,.424,.209,.075,81,77,,71,111,75,80,19,-20.9,-20.6
.457,.540,.344,.530,.751,.566,.288,.426,99,103,96,100,97,100,111,111,1.2,2.0
.389,.444,.333,.472,1.000,.503,.111,.500,85,85,93,89,129,89,43,130,-2.0,-2.3
.143,.333,.000,.143,1.000,.254,.286,.571,31,64,,27,129,45,110,149,-5.4,-4.9
.545,.500,.600,.682,,.682,.000,.455,119,95,168,129,,121,,118,3.4,2.6
.585,.617,.352,.606,.740,.631,.271,.123,127,118,98,115,96,112,104,32,114.4,110.0
.409,.510,.336,.506,.750,.511,.034,.578,89,97,94,96,97,91,13,151,-10.7,-25.7
.625,.714,.000,.625,1.000,.676,.250,.125,136,136,,118,129,120,96,33,1.5,2.0
.714,.714,,.714,,.714,.000,.000,155,136,,135,,126,,,2.6,2.1
.000,,.000,.000,1.000,.532,2.000,1.000,,,,,129,94,769,260,-1.1,-0.1
.413,.434,.390,.507,.849,.553,.256,.484,90,83,109,96,110,98,98,126,-33.6,-19.5
.216,.200,.222,.297,,.297,.000,.730,47,38,62,56,,53,,190,-17.1,-19.8
.565,.636,.200,.582,.781,.622,.348,.163,123,121,56,110,101,110,134,42,9.7,12.2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.546,.625,.143,.558,.821,.605,.326,.163,119,119,40,106,106,107,125,42,5.0,8.0
.833,.800,1.000,.917,.500,.838,.667,.167,181,153,279,173,65,148,256,43,4.7,4.2
.477,.531,.339,.525,.784,.549,.162,.280,104,101,95,99,101,97,62,73,-8.6,-34.7
.692,.778,.500,.769,.000,.744,.077,.308,150,148,140,145,,132,30,80,6.3,4.8
.545,.645,.312,.592,.821,.638,.357,.301,118,123,87,112,106,113,137,78,33.7,45.4
.414,.500,.319,.490,.824,.521,.172,.475,90,95,89,93,107,92,66,124,-7.7,-9.3
.385,.222,.471,.538,.000,.529,.038,.654,84,42,131,102,,94,15,170,.5,-1.9
.425,.558,.233,.473,.875,.518,.219,.411,92,107,65,89,113,92,84,107,-8.2,-7.4
.425,.476,.381,.526,.864,.575,.272,.532,92,91,106,100,112,102,105,139,-4.3,20.7
.426,.434,.406,.483,.721,.507,.171,.283,93,83,113,91,93,90,66,74,-32.6,-44.5
.318,.448,.067,.330,.647,.389,.386,.341,69,86,19,62,84,69,149,89,-17.5,-18.1
.462,.533,.417,.590,.778,.617,.231,.615,100,102,116,112,101,109,89,160,4.8,4.5
.472,.533,.429,.597,.778,.626,.250,.583,103,102,120,113,101,111,96,152,4.9,4.9
.333,,.333,.500,,.500,.000,1.000,72,,93,95,,89,,260,-0.2,-0.4
.448,.481,.363,.499,.926,.577,.376,.282,97,92,101,94,120,102,144,73,-21.9,10.6
.536,.575,.403,.581,.819,.610,.205,.227,116,110,112,110,106,108,79,59,104.5,98.6
.455,.507,.374,.528,.647,.547,.231,.391,99,97,104,100,84,97,89,102,-1.0,-22.8
.441,.462,.375,.485,.375,.480,.235,.235,96,88,105,92,49,85,90,61,-3.0,-6.4
.286,.400,.167,.327,1.000,.381,.163,.490,62,76,47,62,129,67,63,128,-19.8,-19.3
.385,.429,.333,.462,.778,.517,.346,.462,84,82,93,87,101,92,133,120,-3.5,-2.8
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.000,.000,.000,.000,,.000,.000,.429,,,,,,,,112,-7.4,-7.9
.526,.600,.444,.632,.778,.675,.474,.474,114,115,124,119,101,120,182,123,3.9,5.1
.294,.333,.200,.324,.500,.336,.118,.294,64,64,56,61,65,59,45,77,-7.0,-8.2
.471,.514,.258,.493,.763,.536,.297,.166,102,98,72,93,99,95,114,43,-91.9,-82.7
.394,.430,.354,.478,.791,.506,.163,.475,86,82,99,90,102,90,63,124,-80.7,-99.6
.458,.518,.366,.530,.853,.593,.382,.391,100,99,102,100,110,105,147,102,1.2,36.7
.621,.622,.571,.624,.686,.644,.341,.010,135,119,160,118,89,114,131,3,133.5,128.4
.447,.506,.332,.504,.709,.536,.274,.342,97,97,93,95,92,95,105,89,-49.4,-62.8
.444,.505,.331,.502,.720,.535,.262,.348,97,96,92,95,93,95,101,91,-42.5,-53.1
.457,.512,.339,.511,.672,.542,.325,.314,99,98,95,97,87,96,125,82,-6.8,-9.6
.412,.548,.250,.469,.722,.505,.256,.455,90,105,70,89,93,89,98,118,-25.2,-28.1
.559,.594,.000,.559,.538,.567,.382,.059,121,113,,106,70,100,147,15,2.0,.1
.347,.520,.258,.432,.346,.429,.177,.660,75,99,72,82,45,76,68,172,-28.5,-42.9
.418,.451,.352,.477,.861,.546,.362,.337,91,86,98,90,111,97,139,88,-97.0,-40.6
.446,.568,.359,.551,.860,.587,.213,.584,97,108,100,104,111,104,82,152,11.6,13.1
.448,.538,.376,.552,.860,.593,.238,.557,97,103,105,104,111,105,92,145,9.9,13.0
.439,.722,.308,.544,.857,.566,.123,.684,95,138,86,103,111,100,47,178,1.7,.1
.312,.333,.286,.375,1.000,.415,.125,.438,68,64,80,71,129,73,48,114,-4.9,-5.1
.727,.727,,.727,.647,.728,.386,.000,158,139,,138,84,129,149,,34.9,33.7
.583,.590,.429,.592,.640,.616,.494,.039,127,113,120,112,83,109,190,10,45.2,44.9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.394,.576,.247,.462,.611,.475,.136,.553,86,110,69,87,79,84,52,144,-17.6,-25.0
.388,.431,.222,.411,.667,.440,.209,.209,84,82,62,78,86,78,80,54,-30.4,-35.1
.567,.636,.386,.620,.744,.659,.476,.276,123,121,108,117,96,117,183,72,92.7,116.0
.462,.503,.370,.519,.770,.554,.243,.309,100,96,103,98,100,98,94,80,-7.7,-9.9
.350,.500,.200,.400,.750,.437,.200,.500,76,95,56,76,97,77,77,130,-5.2,-5.6
.448,.501,.356,.513,.583,.521,.120,.369,97,96,99,97,75,92,46,96,-18.7,-55.6
.437,.501,.361,.519,.861,.595,.448,.455,95,96,101,98,111,105,172,118,-24.0,89.5
.524,.577,.240,.543,.682,.576,.374,.157,114,110,67,103,88,102,144,41,13.4,12.0
.250,.250,,.250,,.250,.000,.000,54,48,,47,,44,,,-2.2,-2.5
.569,.569,,.569,.737,.597,.264,.000,124,109,,108,95,106,101,,5.8,5.2
.613,.616,.000,.613,.747,.651,.431,.005,133,118,,116,97,115,166,1,64.8,78.7
