Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,ORtg,DRtg
Mfiondu Kabengele\kabenmf01,C,22,LAC,12,0,10.3,23.6,.438,6.6,14.8,.450,3.7,8.9,.417,3.7,3.7,1.000,0.7,7.4,8.1,1.5,1.5,1.5,1.5,31.0,119,107
Frank Kaminsky\kaminfr01,C,26,PHO,39,13,8.4,18.7,.450,2.5,7.6,.331,5.9,11.2,.530,3.7,5.5,.678,2.1,8.6,10.7,4.6,0.9,0.6,2.3,23.0,110,112
Enes Kanter\kanteen01,C,27,BOS,58,7,9.8,17.1,.572,0.0,0.3,.143,9.7,16.7,.581,3.4,4.9,.707,8.0,13.2,21.2,2.7,1.1,2.0,2.7,23.0,123,104
Luke Kennard\kennalu01,SG,23,DET,28,25,8.1,18.2,.442,3.9,9.8,.399,4.2,8.5,.491,3.6,4.0,.893,0.5,4.7,5.2,6.1,0.6,0.3,2.3,23.6,117,117
Stanton Kidd\kiddst01,SG,27,UTA,4,0,0.0,9.7,.000,0.0,3.2,.000,0.0,6.5,.000,0.0,0.0,,0.0,9.7,9.7,3.2,0.0,0.0,6.5,0.0,13,112
Michael Kidd-Gilchrist\kiddgmi01,PF,26,TOT,25,0,3.9,11.6,.333,0.9,3.5,.250,3.0,8.1,.370,1.9,2.5,.786,2.5,9.3,11.8,2.5,0.4,1.1,2.8,10.5,85,113
Michael Kidd-Gilchrist\kiddgmi01,PF,26,CHO,12,0,5.6,16.6,.340,1.6,5.3,.294,4.1,11.3,.361,2.2,2.8,.778,2.8,8.1,11.0,3.1,0.0,0.9,2.2,15.0,91,115
Michael Kidd-Gilchrist\kiddgmi01,PF,26,DAL,13,0,1.6,5.2,.308,0.0,1.2,.000,1.6,4.0,.400,1.6,2.0,.800,2.0,10.8,12.8,1.6,0.8,1.2,3.6,4.8,71,110
Louis King\kinglo02,SF,20,DET,10,0,6.3,16.7,.381,3.2,8.7,.364,3.2,7.9,.400,0.0,2.4,.000,0.8,7.1,7.9,4.0,1.6,0.0,1.6,15.9,93,113
Maxi Kleber\klebima01,PF,28,DAL,74,21,6.1,13.1,.461,3.0,8.2,.373,3.0,5.0,.605,2.0,2.4,.849,2.9,7.1,9.9,2.3,0.6,2.1,1.5,17.2,122,112
Brandon Knight\knighbr03,SG-PG,28,TOT,25,3,6.2,17.7,.353,4.8,13.9,.344,1.5,3.8,.389,2.1,3.6,.588,0.4,3.9,4.3,7.3,1.1,0.3,4.0,19.4,98,117
Brandon Knight\knighbr03,SG,28,CLE,16,0,5.7,17.4,.326,3.8,12.9,.297,1.8,4.4,.409,0.8,2.6,.308,0.6,3.4,4.0,6.3,1.0,0.4,3.2,15.9,89,119
Brandon Knight\knighbr03,PG,28,DET,9,3,6.9,18.0,.383,5.8,14.9,.388,1.1,3.1,.357,3.6,4.7,.762,0.2,4.5,4.7,8.5,1.1,0.2,4.9,23.1,106,116
Kevin Knox\knoxke01,SF,20,NYK,65,4,6.0,16.7,.359,2.7,8.3,.327,3.3,8.4,.391,2.8,4.2,.653,1.2,6.5,7.7,2.5,1.0,1.2,1.9,17.5,97,114
John Konchar\konchjo01,SG,23,MEM,19,0,6.2,9.5,.649,1.3,2.6,.500,4.9,7.0,.704,0.3,0.5,.500,4.6,7.5,12.1,5.7,1.8,0.8,1.8,13.9,140,110
Furkan Korkmaz\korkmfu01,SG,22,PHI,72,12,7.5,17.5,.430,4.4,11.1,.402,3.1,6.4,.478,2.4,3.2,.755,0.6,4.7,5.2,2.5,1.3,0.5,1.8,21.9,111,112
Luke Kornet\kornelu01,C,24,CHI,36,14,7.1,16.1,.439,2.7,9.3,.287,4.4,6.8,.646,1.7,2.4,.714,1.9,5.3,7.2,2.8,0.9,2.2,1.2,18.5,112,111
Kyle Korver\korveky01,SF,38,MIL,58,1,6.0,13.9,.430,4.7,11.3,.418,1.3,2.7,.482,1.7,2.0,.854,0.7,5.1,5.8,3.2,1.2,0.6,2.3,18.4,113,106
Rodions Kurucs\kurucro01,PF,21,BRK,47,9,5.5,12.2,.446,2.3,6.2,.367,3.2,6.0,.529,1.7,2.6,.632,1.7,7.7,9.5,3.5,1.7,0.3,3.2,14.9,101,109
Kyle Kuzma\kuzmaky01,PF,24,LAL,61,9,9.1,20.8,.436,2.7,8.5,.316,6.4,12.3,.518,3.6,4.8,.735,1.6,6.9,8.5,2.5,0.9,0.8,2.8,24.4,103,109
Skal Labissière\labissk01,C,23,POR,33,1,6.8,12.4,.551,0.3,1.1,.231,6.6,11.3,.582,2.1,2.8,.758,5.5,8.7,14.2,3.5,0.6,2.6,2.5,16.0,121,113
Jeremy Lamb\lambje01,SG,27,IND,46,42,8.1,18.0,.451,2.0,5.9,.335,6.1,12.1,.508,3.5,4.1,.836,0.9,6.6,7.5,3.6,2.1,0.8,1.9,21.7,108,107
Romeo Langford\langfro01,SG,20,BOS,32,2,3.7,10.4,.350,0.7,3.5,.185,3.0,6.9,.434,2.3,3.3,.720,2.0,3.4,5.3,1.7,1.0,1.0,1.4,10.3,95,111
Zach LaVine\lavinza01,SG,24,CHI,60,60,12.5,27.7,.450,4.3,11.2,.380,8.2,16.5,.497,6.2,7.7,.802,0.9,5.7,6.7,5.9,2.0,0.6,4.8,35.3,106,110
Vic Law\lawvi01,PF,24,ORL,8,0,4.7,14.1,.333,0.8,5.5,.143,3.9,8.6,.455,1.6,4.7,.333,1.6,7.1,8.6,2.4,1.6,0.0,1.6,11.8,79,111
Jake Layman\laymaja01,SF,25,MIN,23,2,7.4,16.5,.453,2.2,6.6,.333,5.2,9.8,.533,2.2,2.9,.750,1.6,3.7,5.2,1.4,1.6,0.9,2.2,19.3,102,114
T.J. Leaf\leaftj01,PF,22,IND,28,1,7.9,18.8,.419,1.1,3.9,.278,6.8,14.9,.456,1.5,3.5,.438,5.0,10.5,15.5,2.0,2.2,0.9,1.7,18.4,98,105
Jalen Lecque\lecquja01,SG,19,PHO,5,0,5.9,14.8,.400,0.0,5.9,.000,5.9,8.9,.667,3.0,3.0,1.000,0.0,3.0,3.0,3.0,0.0,0.0,3.0,14.8,86,118
