Rk,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
143,-6.1,-14.0,10,0,18,2,6,4,54,1,7
144,36.9,37.7,0,0,1,0,0,0,3,0,1
145,-2.1,5.1,7,6,20,3,4,3,106,1,5
146,5.2,5.0,50,56,80,31,177,9,361,44,42
147,0.9,0.3,21,17,64,15,46,11,149,8,21
147,1.6,-0.9,12,8,41,8,26,7,95,5,15
147,-0.2,1.0,9,9,23,7,20,4,54,3,6
148,-11.5,-11.3,9,5,24,5,11,2,38,1,8
149,-10.3,-3.8,17,3,27,2,14,6,74,1,11
149,-11.3,-2.9,17,3,27,2,14,6,74,1,11
149,74.7,79.5,0,0,0,0,0,0,0,0,0
150,-9.6,-7.5,18,6,14,3,21,8,93,3,9
150,-7.8,-10.3,7,0,4,1,1,0,15,0,3
150,-10.0,-2.2,11,6,10,2,20,8,78,3,6
151,14.8,8.4,0,2,6,0,2,0,2,1,1
152,4.5,9.0,28,4,69,12,39,3,210,14,25
153,-8.4,-5.7,8,4,14,4,12,0,42,3,7
154,-4.4,-9.4,14,6,67,6,9,17,127,2,5
155,-6.4,2.0,20,13,65,6,24,3,119,8,20
156,-2.6,-0.6,14,4,11,3,13,16,170,1,10
157,7.0,4.9,31,17,81,11,50,9,282,10,32
158,-7.0,-10.6,22,17,59,7,38,4,246,8,28
159,-1.9,-2.1,52,40,51,19,89,16,470,25,30
160,-4.2,-4.0,83,53,53,16,169,23,884,35,48
161,-14.4,-13.9,2,2,7,0,1,1,7,0,1
162,-15.1,-18.9,4,0,11,0,3,1,6,0,3
163,-7.1,-3.3,19,11,16,3,8,11,226,0,3
164,-1.5,-1.0,79,43,59,16,69,10,899,19,49
165,-6.9,-5.5,2,6,16,4,11,1,18,2,2
165,-22.1,-20.3,0,4,2,1,5,0,6,2,1
165,-1.2,-0.3,2,2,14,3,6,1,12,0,1
166,-2.3,1.3,9,9,54,8,27,14,50,6,8
167,4.8,6.6,27,22,29,12,111,15,280,20,31
168,-4.7,-1.1,26,9,31,3,32,13,240,13,14
169,-8.9,-2.1,90,32,49,5,32,15,550,5,38
170,10.6,5.9,28,9,61,12,14,9,357,5,7
171,-0.4,1.3,32,36,55,7,60,8,263,11,22
172,8.3,3.1,70,33,50,18,84,17,448,17,38
173,-12.0,-8.3,7,12,56,19,29,3,131,10,17
